IATA_CODE,AIRLINE,ShortName
UA,United Air Lines Inc.,United Airlines
AA,American Airlines Inc., American Airlines
US,US Airways Inc., US Airways
F9,Frontier Airlines Inc., Frontier Airlines
B6,JetBlue Airways, JetBlue
OO,Skywest Airlines Inc., Skywest
AS,Alaska Airlines Inc., Alaska Airlines
WN,Southwest Airlines Co., Southwest
DL,Delta Air Lines Inc., Delta
EV,Atlantic Southeast Airlines, Atlantic Southeast
MQ,American Eagle Airlines Inc., American Eagle
HA,Hawaiian Airlines Inc., Hawaiian Airlines
OH,Comair Airlines, Comair
YV,Mesa Airlines, Mesa
FL,AirTran Airways, AirTran
CO,Continental Airlines, Continental
9E,Pinnacle Airlines, Pinnacle
NW,Northwest Airlines, Northwest
XE,ExpressJet Airlines, ExpressJet
